trip_id,arrival_time,departure_time,stop_id,stop_sequence
CIRCULAR2_1,07:00:00,07:00:00,1,1
CIRCULAR2_1,07:02:00,07:02:00,2,2
CIRCULAR2_1,07:04:00,07:04:00,3,3
CIRCULAR2_1,07:06:00,07:06:00,4,4
CIRCULAR2_1,07:08:00,07:08:00,5,5
CIRCULAR2_1,07:10:00,07:10:00,6,6
CIRCULAR2_1,07:12:00,07:12:00,7,7
CIRCULAR2_1,07:14:00,07:14:00,8,8
CIRCULAR2_1,07:16:00,07:16:00,9,9
CIRCULAR2_1,07:18:00,07:18:00,10,10
CIRCULAR2_1,07:20:00,07:20:00,11,11
CIRCULAR2_1,07:22:00,07:22:00,12,12
CIRCULAR2_1,07:24:00,07:24:00,13,13
CIRCULAR2_1,07:26:00,07:26:00,14,14
CIRCULAR2_1,07:28:00,07:28:00,15,15
CIRCULAR2_1,07:30:00,07:30:00,16,16
CIRCULAR2_1,07:32:00,07:32:00,17,17
CIRCULAR2_1,07:34:00,07:34:00,18,18
CIRCULAR2_1,07:36:00,07:36:00,19,19
CIRCULAR2_1,07:38:00,07:38:00,20,20
CIRCULAR2_1,07:40:00,07:40:00,21,21
CIRCULAR2_1,07:42:00,07:42:00,22,22
CIRCULAR2_1,07:44:00,07:44:00,23,23
CIRCULAR2_1,07:46:00,07:46:00,24,24
CIRCULAR2_1,07:50:00,07:50:00,1,25
