stop_id,stop_name,stop_lat,stop_lon
STOP_1,STOP_1,40.2852801367722,-3.8162738076027907
STOP_2,STOP_2,40.28532504755275,-3.8133287368827955
STOP_3,STOP_3,40.2849649204672,-3.804359428986575
STOP_4,STOP_4,40.287223867729764,-3.8008832857349293
STOP_5,STOP_5,40.29321462310814,-3.8105392392117237
STOP_6,STOP_6,40.293476501938976,-3.7926864541168523
STOP_7,STOP_7,40.28748576977496,-3.788952818772478
STOP_8,STOP_8,40.28316425626027,-3.786463728542908
STOP_9,STOP_9,40.27962826697952,-3.799896232712852
STOP_10,STOP_10,40.27681243954205,-3.808436387121226
STOP_11,STOP_11,40.276746953787715,-3.8023424075936467
STOP_12,STOP_12,40.295211423560175,-3.805389397357426
STOP_13,STOP_13,40.300317726806455,-3.809037202004211
