stop_id,stop_name,stop_lat,stop_lon
STOP_1,STOP_1,40.31414822839965,-3.839491010036221
STOP_2,STOP_2,40.28363528306841,-3.7764751862573602
STOP_3,STOP_3,40.282849529130495,-3.773095602540482
STOP_4,STOP_4,40.28253849900697,-3.7701880876602445
STOP_5,STOP_5,40.28339792086242,-3.767205470919637
STOP_6,STOP_6,40.28122888278935,-3.764190667667433
STOP_7,STOP_7,40.2792480400561,-3.7697482053352
STOP_8,STOP_8,40.2797964610027,-3.7756383369560447
STOP_9,STOP_9,40.27986194380347,-3.780552144392012
STOP_10,STOP_10,40.281597214914754,-3.7880837881039113
STOP_11,STOP_11,40.283946308145715,-3.7952077360023417
STOP_12,STOP_12,40.284224592528204,-3.797138926697701
STOP_13,STOP_13,40.289978274647105,-3.803769348085094
STOP_14,STOP_14,40.292253422054536,-3.8073527797087063
STOP_15,STOP_15,40.29329276246893,-3.810335396449314
STOP_16,STOP_16,40.29051842449021,-3.8100671755194075
STOP_17,STOP_17,40.287064664686596,-3.8095736490083687
STOP_18,STOP_18,40.285247687027365,-3.813328742027121
STOP_19,STOP_19,40.29217158354774,-3.8227379322484065
STOP_20,STOP_20,40.29456122714166,-3.831288815493959
